time,open,high,low,close,Volume,Volume MA,Basis,Upper,Lower,Basis,Upper,Lower
1507852800,1.3535946,1.58228048,1.10128516,1.45347997,3064190.19326708,4559872.536094163,NaN,NaN,NaN,NaN,NaN,NaN
1507939200,1.4526261,1.56404267,1.39210569,1.53585597,1832727.9126772,4529755.239931012,NaN,NaN,NaN,NaN,NaN,NaN
1508025600,1.53544059,1.6872645,1.30690154,1.56000166,3195295.25859497,4521974.207341245,NaN,NaN,NaN,NaN,NaN,NaN
1508112000,1.55982473,1.63466656,1.35159941,1.44508189,1722600.44016618,4452959.2234310135,NaN,NaN,NaN,NaN,NaN,NaN
1508198400,1.44548296,1.48835656,1.33326553,1.3918787,1092106.61595236,4192215.5619330695,NaN,NaN,NaN,NaN,NaN,NaN
1508284800,1.39154488,1.45801989,1.18735193,1.3254877,1510166.40787435,3843832.274037932,NaN,NaN,NaN,NaN,NaN,NaN
1508371200,1.32547769,1.38618394,1.2080146,1.28774808,1110388.48367928,3613118.1823182353,NaN,NaN,NaN,NaN,NaN,NaN
1508457600,1.28290371,1.45349167,1.12891507,1.23938249,1185224.40332241,3465082.255110783,NaN,NaN,NaN,NaN,NaN,NaN
1508544000,1.23892553,1.29821423,1.13795621,1.26492975,915058.82172307,3252582.749321267,NaN,NaN,NaN,NaN,NaN,NaN
1508630400,1.2646242,1.33713963,1.1478025,1.20283872,1172425.33535916,2883696.266704433,NaN,NaN,NaN,NaN,NaN,NaN
1508716800,1.26337696,1.29546916,1.07322165,1.178978,1663910.97350995,2620820.130518179,NaN,NaN,NaN,NaN,NaN,NaN
1508803200,1.17577691,1.4436468,1.07278398,1.25084982,3018748.60921415,2580895.190128763,NaN,NaN,NaN,NaN,NaN,NaN
1508889600,1.25057206,1.32489603,1.15055195,1.27523485,1516933.5638837,2463223.9156358624,NaN,NaN,NaN,NaN,NaN,NaN
1508976000,1.27543851,1.33057532,1.082221,1.21731161,1716161.55290756,2384131.282234407,NaN,NaN,NaN,NaN,NaN,NaN
1509062400,1.2173421,1.25573153,1.07140918,1.19599477,1434183.02919383,2301636.8776752176,NaN,NaN,NaN,NaN,NaN,NaN
1509148800,1.19589077,1.22890441,1.12363984,1.18832024,1220829.06651224,2214527.705665499,NaN,NaN,NaN,NaN,NaN,NaN
1509235200,1.19405603,1.30621724,1.09416144,1.23314204,1330528.53642974,1998619.0510138634,NaN,NaN,NaN,NaN,NaN,NaN
1509321600,1.23321439,1.39875581,1.17856099,1.33488703,1556197.28470691,1868353.1113127947,NaN,NaN,NaN,NaN,NaN,NaN
1509408000,1.33488758,1.4834431,1.20144236,1.3483067,2231527.28745415,1794347.99309661,NaN,NaN,NaN,NaN,NaN,NaN
1509494400,1.32966293,1.41273896,1.15041677,1.26513161,1392125.67531512,1694066.4725871738,NaN,NaN,NaN,NaN,NaN,NaN
1509580800,1.26529322,1.46223065,1.1763955,1.29524699,2145281.08693735,1648121.0172706873,NaN,NaN,NaN,NaN,NaN,NaN
1509667200,1.29584636,1.52969821,1.26646727,1.45878125,1913600.45544902,1652164.6444092782,NaN,NaN,NaN,NaN,NaN,NaN
1509753600,1.4585576,1.76598035,1.37359191,1.63903621,2239830.1969229,1604391.3913256745,NaN,NaN,NaN,NaN,NaN,NaN
1509840000,1.63351721,1.68574815,1.41394861,1.52865153,1494009.06193667,1592961.8224141991,NaN,NaN,NaN,NaN,NaN,NaN
1509926400,1.52840468,1.69274277,1.39802058,1.57523222,2428422.76407616,1659777.629820389,NaN,NaN,NaN,NaN,NaN,NaN
1510012800,1.57488517,1.85882793,1.50980408,1.8001533,2882740.81839545,1728406.3503464437,NaN,NaN,NaN,NaN,NaN,NaN
1510099200,1.8002294,2.27761117,1.6955268,2.04364532,5474000.50484566,1946586.951404763,NaN,NaN,NaN,NaN,NaN,NaN
1510185600,2.04434096,2.27305208,1.85051769,2.01328026,5030004.29718215,2138825.9460977498,NaN,NaN,NaN,NaN,NaN,NaN
1510272000,2.02866879,2.1007342,1.60571673,1.80308282,3615342.10622901,2273840.110323047,NaN,NaN,NaN,NaN,NaN,NaN
1510358400,1.80199483,1.94209334,1.5502275,1.68697298,2816689.35833702,2356053.31147194,NaN,NaN,NaN,NaN,NaN,NaN
1510444800,1.68696899,1.785773,1.33510529,1.51708398,4930701.04589137,2519392.8150910106,NaN,NaN,NaN,NaN,NaN,NaN
1510531200,1.51447822,1.84890128,1.456,1.721079,3731897.21284348,2555050.245272477,NaN,NaN,NaN,NaN,NaN,NaN
1510617600,1.7189588,1.77780044,1.52444364,1.59411107,1926906.56886207,2575548.895521396,NaN,NaN,NaN,NaN,NaN,NaN
1510704000,1.5888148,1.76906447,1.33068784,1.56798552,2242213.76471097,2601851.5061115664,NaN,NaN,NaN,NaN,NaN,NaN
1510790400,1.56776697,1.8648519,1.40231151,1.57108033,2864185.32490894,2673351.620897322,NaN,NaN,NaN,NaN,NaN,NaN
1510876800,1.5713319,1.60320981,1.42333722,1.52105527,2264473.17802025,2725533.826472722,NaN,NaN,NaN,NaN,NaN,NaN
1510963200,1.50725663,1.68952984,1.45065054,1.66348271,2576915.05104349,2787853.1522034095,NaN,NaN,NaN,NaN,NaN,NaN
1511049600,1.66396501,1.76631071,1.49726168,1.60701568,2468980.70244842,2833492.323090485,NaN,NaN,NaN,NaN,NaN,NaN
1511136000,1.5912092,1.67370851,1.54063121,1.63352869,1952334.63788413,2819532.6906119836,NaN,NaN,NaN,NaN,NaN,NaN
1511222400,1.63575112,1.67715662,1.48157317,1.58563538,1608353.84542357,2830344.0991174066,NaN,NaN,NaN,NaN,NaN,NaN
1511308800,1.62110537,1.66065946,1.53302878,1.62209973,2086091.13935834,2827384.6017384557,NaN,NaN,NaN,NaN,NaN,NaN
1511395200,1.62214403,1.63683185,1.51737636,1.58424688,3690936.17345005,2916251.3876385074,NaN,NaN,NaN,NaN,NaN,NaN
1511481600,1.58209685,1.85520628,1.46832345,1.7491556,4490189.2361099,3028769.3395978576,NaN,NaN,NaN,NaN,NaN,NaN
1511568000,1.74924307,2.05328629,1.64295107,1.90290627,4738463.91845578,3190992.0824238127,NaN,NaN,NaN,NaN,NaN,NaN
1511654400,1.90300472,2.0888242,1.69897886,1.8916287,2364797.86458605,3187810.8374493076,NaN,NaN,NaN,NaN,NaN,NaN
1511740800,1.89175375,1.99318843,1.7169665,1.97001237,2343355.08589944,3160841.550824507,NaN,NaN,NaN,NaN,NaN,NaN
1511827200,1.97091009,2.02128054,1.78319316,1.91853782,1988861.17380073,2986584.584272261,NaN,NaN,NaN,NaN,NaN,NaN
1511913600,1.91983606,2.22580492,1.57876852,1.77719172,5774838.87321949,3023826.313074128,NaN,NaN,NaN,NaN,NaN,NaN
1512000000,1.78749956,2.16468829,1.6186547,1.9936785,4102126.63873928,3048165.539699641,NaN,NaN,NaN,NaN,NaN,NaN
1512086400,1.99063238,2.30044973,1.74914637,2.07204148,3153207.77568088,3064991.460566834,NaN,NaN,NaN,NaN,NaN,NaN
1512172800,2.07455018,2.15503125,1.96473774,2.06949459,1425299.54360982,2889721.3854527567,NaN,NaN,NaN,NaN,NaN,NaN
1512259200,2.0696693,2.76927359,1.95711176,2.30657339,3121049.94309269,2859179.0219652173,NaN,NaN,NaN,NaN,NaN,NaN
1512345600,2.30197556,2.64104062,2.18499782,2.55426219,3742762.91566704,2949971.8393054656,NaN,NaN,NaN,NaN,NaN,NaN
1512432000,2.55426273,2.81870944,2.46757489,2.59883577,3791625.82852112,3027442.442495973,NaN,NaN,NaN,NaN,NaN,NaN
1512518400,2.59812452,3.34002381,2.13579248,2.62149007,4023309.45416353,3085398.6489587026,NaN,NaN,NaN,NaN,NaN,NaN
1512604800,2.59587854,3.6220024,2.1473964,2.6877682,3790102.22345769,3161680.101230574,NaN,NaN,NaN,NaN,NaN,NaN
1512691200,2.68760085,3.22932382,2.02476486,2.82431862,4145099.13068061,3240089.30521243,NaN,NaN,NaN,NaN,NaN,NaN
1512777600,2.82431291,2.95433177,2.2510842,2.69877199,2490138.01572334,3241147.170876176,NaN,NaN,NaN,NaN,NaN,NaN
1512864000,2.68371959,2.90519499,2.06678151,2.50945758,1746806.93729688,3230870.7858468136,NaN,NaN,NaN,NaN,NaN,NaN
1512950400,2.50945299,3.00974262,2.25712842,2.71757328,2281790.28399511,3264542.6077753906,NaN,NaN,NaN,NaN,NaN,NaN
1513036800,2.71717013,2.95701236,2.45873418,2.68599463,2332847.97885221,3276880.449750084,NaN,NaN,NaN,NaN,NaN,NaN
1513123200,2.68653354,2.99377706,2.3854638,2.78032912,3037070.6186177,3244187.1720084664,NaN,NaN,NaN,NaN,NaN,NaN
1513209600,2.77850762,3.25918858,2.7046969,3.16813223,3999190.36314216,3219637.2283600797,NaN,NaN,NaN,NaN,NaN,NaN
1513296000,3.1731224,4.4814375,2.80757593,4.22710406,5964309.21490812,3280929.493182697,NaN,NaN,NaN,NaN,NaN,NaN
1513382400,4.18398368,5.02999792,3.8476273,4.67838516,5424165.7615985,3433897.8880333193,NaN,NaN,NaN,NaN,NaN,NaN
1513468800,4.70208264,6.73344415,4.49697336,6.0801127,9862038.5174164,3809832.0596091673,NaN,NaN,NaN,NaN,NaN,NaN
1513555200,6.07993731,6.29871104,5.04170766,5.99922807,6030876.87804825,4011932.8448215434,NaN,NaN,NaN,NaN,NaN,NaN
1513641600,6.00678466,6.8630931,5.17058952,5.83716392,7726160.17363502,4109498.90984232,NaN,NaN,NaN,NaN,NaN,NaN
1513728000,5.8364097,5.89249813,4.55001544,5.16345291,3755851.98705688,4092185.1772582,NaN,NaN,NaN,NaN,NaN,NaN
1513814400,5.16338265,5.86235747,4.55443894,5.17599139,4841054.60001969,4176577.5184751404,NaN,NaN,NaN,NaN,NaN,NaN
1513900800,5.19723253,5.42125194,3.27379832,4.51279931,3708112.18011499,4290718.150300399,NaN,NaN,NaN,NaN,NaN,NaN
1513987200,4.5138505,5.47784272,4.29698723,5.02126984,3345442.56867252,4301937.781579391,NaN,NaN,NaN,NaN,NaN,NaN
1514073600,4.99250475,6.08015243,3.9495445,5.38988375,4713474.12486629,4350473.342039353,NaN,NaN,NaN,NaN,NaN,NaN
1514160000,5.37975288,7.32908058,5.05554263,6.61430666,5418552.45625235,4431819.673425915,NaN,NaN,NaN,NaN,NaN,NaN
1514246400,6.6165806,11.15485122,6.18165574,9.3222583,11381022.95973535,4799705.348704506,NaN,NaN,NaN,NaN,NaN,NaN
1514332800,9.40076614,11.38431971,7.8222098,10.04028818,10143086.49073738,5117354.56206849,NaN,NaN,NaN,NaN,NaN,NaN
1514419200,10.04307629,10.30969118,7.85243374,9.49039409,6208600.72575905,5220529.641822412,NaN,NaN,NaN,NaN,NaN,NaN
1514505600,9.48520278,9.91177768,8.29543882,8.78008932,3453819.1662509,5268713.699348791,NaN,NaN,NaN,NaN,NaN,NaN
1514592000,8.73211418,8.9969123,7.15333872,7.79086846,3458193.30035988,5354283.01750194,NaN,NaN,NaN,NaN,NaN,NaN
1514678400,7.79086692,9.32181604,7.34492546,8.65228603,3688430.35236464,5424615.020920416,NaN,NaN,NaN,NaN,NaN,NaN
1514764800,8.65230317,8.86318455,7.85282044,8.49318222,2413003.57899938,5428622.800927775,NaN,NaN,NaN,NaN,NaN,NaN
1514851200,8.48540743,9.72219611,6.85787401,8.75869114,4574737.57532526,5505506.148763154,NaN,NaN,NaN,NaN,NaN,NaN
1514937600,8.75750963,9.90379725,7.77513345,9.48131149,3709405.69541791,5491016.915376941,NaN,NaN,NaN,NaN,NaN,NaN
1515024000,9.47663531,9.84473936,8.22197143,9.23494989,7072244.17441558,5546413.663352313,NaN,NaN,NaN,NaN,NaN,NaN
1515110400,9.2351033,17.03809813,8.82057017,14.92100264,15214093.06480641,6035910.028512709,NaN,NaN,NaN,NaN,NaN,NaN
1515196800,14.89977124,24.45438749,14.22197529,22.67564667,19695392.83566211,6527577.744424994,NaN,NaN,NaN,NaN,NaN,NaN
