time,open,high,low,close,Volume,Volume MA,Basis,Upper,Lower,Basis,Upper,Lower
1511308800,8095.19,8310.89,8045.76,8214.69,8078.58080138,16121.780540634054,NaN,NaN,NaN,NaN,NaN,NaN
1511395200,8214.69,8279.76,7980,7989,7811.79339997,15712.381020790554,NaN,NaN,NaN,NaN,NaN,NaN
1511481600,7988.96,8340,7876,8199.19,9289.98925704,15716.874752720556,NaN,NaN,NaN,NaN,NaN,NaN
1511568000,8199.83,8737,8114.78,8717.99,11611.66637888,15836.541726776555,NaN,NaN,NaN,NaN,NaN,NaN
1511654400,8718,9366.6,8538.2,9271.06,12021.21548696,15471.446063251558,NaN,NaN,NaN,NaN,NaN,NaN
1511740800,9278.99,9721.7,9267,9708.07,13272.45254013,15553.355425432557,NaN,NaN,NaN,NaN,NaN,NaN
1511827200,9708.06,9968,9582.25,9868.82,11214.92993115,14880.115894510056,NaN,NaN,NaN,NaN,NaN,NaN
1511913600,9877.63,11395,9250,9824.68,33432.33996208,15811.769604012055,NaN,NaN,NaN,NaN,NaN,NaN
1512000000,9833.7,10618.29,9000,9947.67,25433.45836367,15752.728719580055,NaN,NaN,NaN,NaN,NaN,NaN
1512086400,9927.29,10949.89,9370.11,10840.45,16708.03224846,15840.995204236553,NaN,NaN,NaN,NaN,NaN,NaN
1512172800,10840.45,11200,10637.69,10872,9267.16105468,14438.595424980555,NaN,NaN,NaN,NaN,NaN,NaN
1512259200,10875.68,11800.01,10513.16,11250,14238.525877,13790.469613413554,NaN,NaN,NaN,NaN,NaN,NaN
1512345600,11250,11613.07,10850,11613.07,13621.48197282,13867.941057652555,NaN,NaN,NaN,NaN,NaN,NaN
1512432000,11613.07,11850,11384.25,11677,11875.03377686,13618.197850848057,NaN,NaN,NaN,NaN,NaN,NaN
1512518400,11676.99,13700,11659.8,13623.5,19784.87348713,13643.822951371558,NaN,NaN,NaN,NaN,NaN,NaN
1512604800,13623,16615.62,13085.9,16599.99,25496.64158338,14032.936636814557,NaN,NaN,NaN,NaN,NaN,NaN
1512691200,16599.99,16666.66,13482.42,15800,25473.25771626,14940.259015619555,NaN,NaN,NaN,NaN,NaN,NaN
1512777600,15799.87,15998.5,12701.05,14607.49,16587.47292694,15354.243786538054,NaN,NaN,NaN,NaN,NaN,NaN
1512864000,14601.01,15385,13011,14691,18487.98304099,15869.670052224054,NaN,NaN,NaN,NaN,NaN,NaN
1512950400,14690.99,17270,14677.19,16470,16583.72315538,16014.530648058053,NaN,NaN,NaN,NaN,NaN,NaN
1513036800,16470,17428.42,15967.29,16650.01,13517.89210328,16286.496213153054,NaN,NaN,NaN,NaN,NaN,NaN
1513123200,16650.01,17107.03,15497.69,16250,17136.7058582,16752.741836064553,NaN,NaN,NaN,NaN,NaN,NaN
1513209600,16245.02,16830.45,15852.69,16404.99,13409.52428786,16958.718587605552,NaN,NaN,NaN,NaN,NaN,NaN
1513296000,16404.99,17934,16337.19,17471.5,18998.38813709,17328.054675516054,NaN,NaN,NaN,NaN,NaN,NaN
1513382400,17477.98,19377,17269.99,19187.78,9761.22080853,17215.054941594553,NaN,NaN,NaN,NaN,NaN,NaN
1513468800,19187.78,19666,18465,18953,9749.24915462,17038.894772319054,NaN,NaN,NaN,NaN,NaN,NaN
1513555200,18953,19220,17835.2,18940.57,14678.94144797,17212.09534816005,NaN,NaN,NaN,NaN,NaN,NaN
1513641600,18940.58,19160.79,16831.26,17700,21528.13766503,16616.885233307556,NaN,NaN,NaN,NaN,NaN,NaN
1513728000,17700,17950,15343.04,16466.98,31172.2288067,16903.823755459052,NaN,NaN,NaN,NaN,NaN,NaN
1513814400,16466.98,17281.17,15005,15600.01,20377.86043859,17087.315164965556,NaN,NaN,NaN,NaN,NaN,NaN
1513900800,15600,15795.61,11159.93,14009.79,57444.88580326,19496.201402394556,NaN,NaN,NaN,NaN,NaN,NaN
1513987200,13980,15756.22,13496.48,14619,21786.3086642,19873.590541754555,NaN,NaN,NaN,NaN,NaN,NaN
1514073600,14619,14619.1,12488,14157.87,18518.58537627,20118.445711927056,NaN,NaN,NaN,NaN,NaN,NaN
1514160000,14107.87,14650,13210,13911.28,11564.54433309,20102.921239738556,NaN,NaN,NaN,NaN,NaN,NaN
1514246400,13925.5,16147.87,13746.95,15764.44,15051.16401761,19866.235766262558,NaN,NaN,NaN,NaN,NaN,NaN
1514332800,15764.45,16480.52,14484,15364.93,15643.75488215,19373.591431201057,NaN,NaN,NaN,NaN,NaN,NaN
1514419200,15390.05,15474.19,13500,14470.07,16557.21732271,18927.78941152356,NaN,NaN,NaN,NaN,NaN,NaN
1514505600,14436.99,15111,13998,14340,13505.70299216,18773.70091478456,NaN,NaN,NaN,NaN,NaN,NaN
1514592000,14351,14463.28,12050,12640,21749.67444609,18936.78548503956,NaN,NaN,NaN,NaN,NaN,NaN
1514678400,12640,14296.06,12491.21,13880,11583.41864698,18686.77025961956,NaN,NaN,NaN,NaN,NaN,NaN
1514764800,13880,13941.75,12801.38,13443.41,7688.0306846,18395.27718868556,NaN,NaN,NaN,NaN,NaN,NaN
1514851200,13394.2,15257.53,12910.58,14678.94,16299.66930279,18353.425360915062,NaN,NaN,NaN,NaN,NaN,NaN
1514937600,14670.96,15500,14546.28,15155.62,12275.00119668,18296.69920635606,NaN,NaN,NaN,NaN,NaN,NaN
1515024000,15155.62,15430.27,14192.37,15143.67,14994.33199232,18096.49639911756,NaN,NaN,NaN,NaN,NaN,NaN
1515110400,15143.67,17200,14810,16928,16234.81596449,18420.17615691556,NaN,NaN,NaN,NaN,NaN,NaN
1515196800,16927.99,17234.99,16220,17149.67,9493.78479447,18407.40293890806,NaN,NaN,NaN,NaN,NaN,NaN
1515283200,17142.43,17149.97,15707.16,16124.02,8632.81384337,18105.096558678062,NaN,NaN,NaN,NaN,NaN,NaN
1515369600,16173.98,16300,13900,14999.99,16676.34994239,17862.507172546062,NaN,NaN,NaN,NaN,NaN,NaN
1515456000,14999.99,15367.18,14123.97,14403.51,13913.52469368,16999.571966895062,NaN,NaN,NaN,NaN,NaN,NaN
1515542400,14403.51,14900,13412,14890.02,18479.01253046,16904.629571488564,NaN,NaN,NaN,NaN,NaN,NaN
1515628800,14899.99,14973.07,12800,13243.83,19620.61821758,15013.416192204564,NaN,NaN,NaN,NaN,NaN,NaN
1515715200,13249.99,14152.19,12807.27,13781.41,13433.08481363,14595.75499967606,NaN,NaN,NaN,NaN,NaN,NaN
1515801600,13829.28,14619.1,13789.42,14197.78,7488.98701847,14044.275081786061,NaN,NaN,NaN,NaN,NaN,NaN
1515888000,14197.78,14365.81,13072.22,13647.99,7588.63558972,13845.47964461756,NaN,NaN,NaN,NaN,NaN,NaN
1515974400,13647.99,14394.36,13429.25,13607.04,9444.63530824,13565.15320914906,NaN,NaN,NaN,NaN,NaN,NaN
1516060800,13581.66,13607.04,10162,11386.34,38789.88308789,14722.45961943606,NaN,NaN,NaN,NaN,NaN,NaN
1516147200,11393.97,11794.07,9222,11191.35,41356.1897379,15962.408240195558,NaN,NaN,NaN,NaN,NaN,NaN
1516233600,11199,12146,10693,11247.57,22195.02020695,16396.87410093506,NaN,NaN,NaN,NaN,NaN,NaN
1516320000,11290.9,12050.39,11025.18,11552,13202.46140127,15969.51344869406,NaN,NaN,NaN,NaN,NaN,NaN
1516406400,11560.82,13052.12,11515.94,12775.99,10324.05733414,15906.54538305206,NaN,NaN,NaN,NaN,NaN,NaN
1516492800,12782.99,12791.88,11100,11558.87,11592.83249238,16101.78547344106,NaN,NaN,NaN,NaN,NaN,NaN
1516579200,11558.87,11910.78,10028.41,10808.99,17067.52107893,16140.178062248058,NaN,NaN,NaN,NaN,NaN,NaN
1516665600,10810,11409.87,9927.54,10851.82,17250.17614645,16388.93680973656,NaN,NaN,NaN,NaN,NaN,NaN
1516752000,10848.99,11500,10488.13,11400.96,11646.23172737,16221.531796489056,NaN,NaN,NaN,NaN,NaN,NaN
1516838400,11400.98,11741.82,10868.57,11155.54,10212.92183381,15920.437089955056,NaN,NaN,NaN,NaN,NaN,NaN
1516924800,11140.01,11635,10263.32,11092.95,15074.1813819,16199.456919326554,NaN,NaN,NaN,NaN,NaN,NaN
1517011200,11093.74,11630.47,10815.84,11446.54,10306.4074395,16283.136599133053,NaN,NaN,NaN,NaN,NaN,NaN
1517097600,11446.54,11989.15,11360.52,11685.58,9955.62576621,15947.100390324054,NaN,NaN,NaN,NaN,NaN,NaN
1517184000,11685.58,11820.01,10991,11162.62,9996.35689848,15751.242000564054,NaN,NaN,NaN,NaN,NaN,NaN
1517270400,11162.62,11222.36,9731.2,9971,21082.19252764,15881.401000423055,NaN,NaN,NaN,NaN,NaN,NaN
1517356800,9971,10324,9514.96,10149,12743.50947059,15537.545563073552,NaN,NaN,NaN,NaN,NaN,NaN
1517443200,10148.99,10187.56,8455,8998.99,26356.58883931,16183.720764357553,NaN,NaN,NaN,NaN,NaN,NaN
1517529600,9010.87,9096.79,7625.25,8838.83,44406.01982931,18029.572404899554,NaN,NaN,NaN,NaN,NaN,NaN
1517616000,8838.29,9491.2,8170.71,9225.86,16208.37411342,18460.559331084554,NaN,NaN,NaN,NaN,NaN,NaN
1517702400,9225.31,9350.09,7825,8191,19110.58974135,18943.85705274005,NaN,NaN,NaN,NaN,NaN,NaN
1517788800,8190.78,8335.56,6600,6874.27,46544.42880431,19331.584338561053,NaN,NaN,NaN,NaN,NaN,NaN
1517875200,6878.65,8150,5920.72,7737.37,70961.36965826,20811.843334579054,NaN,NaN,NaN,NaN,NaN,NaN
1517961600,7737.26,8649,7213.8,7588.01,32640.89253754,21334.136951108554,NaN,NaN,NaN,NaN,NaN,NaN
1518048000,7588.01,8644.36,7565.5,8259.76,22746.39118112,21811.333440101054,NaN,NaN,NaN,NaN,NaN,NaN
1518134400,8259.42,8779.62,7753.32,8693.98,18418.11709042,22216.036427915053,NaN,NaN,NaN,NaN,NaN,NaN
1518220800,8693.98,9090.8,8170.86,8560,14670.55870203,22369.922738397552,NaN,NaN,NaN,NaN,NaN,NaN
1518307200,8560,8560,7820,8067,12711.7858457,22152.13597673605,NaN,NaN,NaN,NaN,NaN,NaN
1518393600,8077.25,8995,8067,8899,15055.78159303,22042.416249065056,NaN,NaN,NaN,NaN,NaN,NaN
1518480000,8891.2,8951.89,8360.13,8522.99,11344.34062831,22027.321694112055,NaN,NaN,NaN,NaN,NaN,NaN
