time,open,high,low,close,Volume,Volume MA,Basis,Upper,Lower,Basis,Upper,Lower
1511308800,359.93,383.94,358.33,380.88,34942.54547529,30280.29980499149,NaN,NaN,NaN,NaN,NaN,NaN
1511395200,381.78,426.04,370.11,406.75,77408.69415541,32867.56453412599,NaN,NaN,NaN,NaN,NaN,NaN
1511481600,406.75,478.99,395,471.17,84954.02729429,36668.256091519994,NaN,NaN,NaN,NaN,NaN,NaN
1511568000,470.73,483,451,463,31084.17084751,37924.70035358999,NaN,NaN,NaN,NaN,NaN,NaN
1511654400,461.89,472.76,438.09,467,29143.13609488,38412.96681976049,NaN,NaN,NaN,NaN,NaN,NaN
1511740800,468.99,487,456.24,474.67,53900.34875743,39581.727179372,NaN,NaN,NaN,NaN,NaN,NaN
1511827200,474.21,478.15,457.61,464.95,49678.06856814,40439.420023342,NaN,NaN,NaN,NaN,NaN,NaN
1511913600,464.1,519.23,403,423.9,129280.99805873,45324.4150987925,NaN,NaN,NaN,NaN,NaN,NaN
1512000000,424,455.99,388,435.09,59144.71280639,46552.13331712301,NaN,NaN,NaN,NaN,NaN,NaN
1512086400,435,469.4,415.16,460.3,30626.87441244,46888.42138282501,NaN,NaN,NaN,NaN,NaN,NaN
1512172800,459.6,472.32,447,456.04,23203.04203086,45628.278200715504,NaN,NaN,NaN,NaN,NaN,NaN
1512259200,456.06,482.8,441.02,463,33041.91584327,45448.31170295551,NaN,NaN,NaN,NaN,NaN,NaN
1512345600,463,473.9,446.2,467.83,31067.36127569,44563.20150399651,NaN,NaN,NaN,NaN,NaN,NaN
1512432000,467.83,471.9,450.49,455.76,22812.03047721,44351.175482643004,NaN,NaN,NaN,NaN,NaN,NaN
1512518400,453.71,459.85,405.88,415.83,50979.87361894,45182.14529000401,NaN,NaN,NaN,NaN,NaN,NaN
1512604800,417.09,436.42,400,411.03,50448.60557102,46462.319655483516,NaN,NaN,NaN,NaN,NaN,NaN
1512691200,411.38,454.85,391,440.27,58296.62632362,48073.42929350501,NaN,NaN,NaN,NaN,NaN,NaN
1512777600,441.58,497.99,430.2,456.38,49940.3503449,48963.462581394015,NaN,NaN,NaN,NaN,NaN,NaN
1512864000,456.41,459.44,401.33,425.07,29510.02802742,49030.42896396802,NaN,NaN,NaN,NaN,NaN,NaN
1512950400,421.17,505,421.17,503.47,44543.4473361,48700.342865977014,NaN,NaN,NaN,NaN,NaN,NaN
1513036800,500.9,645.55,487,620.59,104502.62988733,52178.347086579015,NaN,NaN,NaN,NaN,NaN,NaN
1513123200,622.42,742.23,585,694.5,127713.16912867,54693.57083524201,NaN,NaN,NaN,NaN,NaN,NaN
1513209600,694.5,745,647.5,689.69,89396.17077403,54915.678009229014,NaN,NaN,NaN,NaN,NaN,NaN
1513296000,689.82,692.5,601.13,676.36,54771.22414446,56100.03067407651,NaN,NaN,NaN,NaN,NaN,NaN
1513382400,676.37,711.77,665.5,684,23905.71516979,55838.15962782201,NaN,NaN,NaN,NaN,NaN,NaN
1513468800,683.98,726,683.06,706.91,27771.4217425,54531.71327707551,NaN,NaN,NaN,NaN,NaN,NaN
1513555200,709.96,800.39,671.56,787.28,57460.07555452,54920.813626394505,NaN,NaN,NaN,NaN,NaN,NaN
1513641600,786.98,870,772.91,817.72,87098.12962617,52811.6702047665,NaN,NaN,NaN,NaN,NaN,NaN
1513728000,816.98,833.67,721.02,797.1,81483.01657849,53928.585393371504,NaN,NaN,NaN,NaN,NaN,NaN
1513814400,799.91,842.73,752,783.8,75451.39348008,56169.8113467535,NaN,NaN,NaN,NaN,NaN,NaN
1513900800,786.99,792.5,501,669.36,163195.8047693,63169.4494836755,NaN,NaN,NaN,NaN,NaN,NaN
1513987200,670.11,755,649.57,699.86,40879.14344014,63561.31086351899,NaN,NaN,NaN,NaN,NaN,NaN
1514073600,702.83,704.93,604.19,686.96,45120.39316201,64263.962457835,NaN,NaN,NaN,NaN,NaN,NaN
1514160000,691.72,750,684,724,42706.02483995,65258.662175972,NaN,NaN,NaN,NaN,NaN,NaN
1514246400,724.98,765,716.7,751.09,24164.54087125,63917.89553858751,NaN,NaN,NaN,NaN,NaN,NaN
1514332800,751.1,770,704.54,738.78,53760.84887956,64083.507704014504,NaN,NaN,NaN,NaN,NaN,NaN
1514419200,738.73,739.8,666,717.23,40099.34231731,63173.643503699,NaN,NaN,NaN,NaN,NaN,NaN
1514505600,719.89,758,709,732.67,44816.84091656,62917.468032282,NaN,NaN,NaN,NaN,NaN,NaN
1514592000,733.05,740.72,659.06,698.46,59596.87471713,64421.8103667675,NaN,NaN,NaN,NaN,NaN,NaN
1514678400,698.45,759.08,687.03,743.48,24771.962541,63433.236127012504,NaN,NaN,NaN,NaN,NaN,NaN
1514764800,743.5,768.87,722.02,752.78,29181.94175805,59667.20172054852,NaN,NaN,NaN,NaN,NaN,NaN
1514851200,754.5,888,754.5,858.6,67628.4884339,56662.96768581002,NaN,NaN,NaN,NaN,NaN,NaN
1514937600,858.6,950,850,940.4,57117.2088194,55049.019588078525,NaN,NaN,NaN,NaN,NaN,NaN
1515024000,938.09,999.91,895.52,940,77124.61485107,56166.68912340902,NaN,NaN,NaN,NaN,NaN,NaN
1515110400,940.49,1022,924.69,966,52021.20780834,57572.46375533652,NaN,NaN,NaN,NaN,NaN,NaN
1515196800,967.46,1009.22,950.01,1004.27,29967.35739899,57682.26053816102,NaN,NaN,NaN,NaN,NaN,NaN
1515283200,1004.25,1118.72,1000,1117.96,47293.11325527,57173.91242319853,NaN,NaN,NaN,NaN,NaN,NaN
1515369600,1116.96,1229.76,964,1130,109473.55179062,58292.683531421026,NaN,NaN,NaN,NaN,NaN,NaN
1515456000,1135.94,1301,1115,1287.47,102885.3832567,59362.80186533152,NaN,NaN,NaN,NaN,NaN,NaN
1515542400,1287.45,1378.99,1187.96,1240.48,96347.51361575,60407.607872115026,NaN,NaN,NaN,NaN,NaN,NaN
1515628800,1247.79,1334.33,1100,1135,95516.74276252,57023.65477177603,NaN,NaN,NaN,NaN,NaN,NaN
1515715200,1139.45,1288.34,1080.59,1258.68,46451.21395109,57302.258297323526,NaN,NaN,NaN,NaN,NaN,NaN
1515801600,1258.68,1420,1256,1384.78,41803.410045,57136.40914147303,NaN,NaN,NaN,NaN,NaN,NaN
1515888000,1381.52,1389,1265,1359.59,35328.24387125,56767.52009303802,NaN,NaN,NaN,NaN,NaN,NaN
1515974400,1359.59,1379,1269,1276.71,33997.65406904,57259.17575292753,NaN,NaN,NaN,NaN,NaN,NaN
1516060800,1272.66,1281.16,862.11,1057.88,127923.04522706,60967.285570302534,NaN,NaN,NaN,NaN,NaN,NaN
1516147200,1057.88,1109.58,761.61,1029.22,179200.00301695,67922.31860528454,NaN,NaN,NaN,NaN,NaN,NaN
1516233600,1029.22,1105,951.12,1024.69,96056.33730588,70484.29342475053,NaN,NaN,NaN,NaN,NaN,NaN
1516320000,1024.66,1095,995.01,1036.03,49838.56906755,69996.37814227153,NaN,NaN,NaN,NaN,NaN,NaN
1516406400,1039.83,1171,1036.03,1150,31922.40626022,70353.90032823253,NaN,NaN,NaN,NaN,NaN,NaN
1516492800,1149.99,1151,1008,1049.09,37024.67135176,70746.03680791802,NaN,NaN,NaN,NaN,NaN,NaN
1516579200,1052.35,1092,917,997.21,48389.50439174,69784.08760581003,NaN,NaN,NaN,NaN,NaN,NaN
1516665600,999.29,1024.98,905,983.7,61938.02964865,70025.12864727252,NaN,NaN,NaN,NaN,NaN,NaN
1516752000,987.56,1069.65,957.69,1065,44487.96413257,68393.29611134752,NaN,NaN,NaN,NaN,NaN,NaN
1516838400,1064.84,1105,1014.48,1050,62196.24467522,68902.04795469152,NaN,NaN,NaN,NaN,NaN,NaN
1516924800,1049.92,1075.9,984,1051.81,39354.23027663,69371.39159857351,NaN,NaN,NaN,NaN,NaN,NaN
1517011200,1051.92,1126.01,1034.45,1115.51,29301.35755668,68471.80381364402,NaN,NaN,NaN,NaN,NaN,NaN
1517097600,1115.15,1240,1099.76,1229.41,29173.76862253,64456.814655239505,NaN,NaN,NaN,NaN,NaN,NaN
1517184000,1229.97,1239,1141,1168,40475.91316314,61336.34115056151,NaN,NaN,NaN,NaN,NaN,NaN
1517270400,1168,1172,1025.77,1051.54,61847.15177457,59611.323058502516,NaN,NaN,NaN,NaN,NaN,NaN
1517356800,1054.55,1118.88,1010.77,1110.14,34149.46526721,56542.95918373702,NaN,NaN,NaN,NaN,NaN,NaN
1517443200,1110.14,1152.05,936,1022.08,92033.54931148,58822.07595175652,NaN,NaN,NaN,NaN,NaN,NaN
1517529600,1020.16,1020.16,731,918.39,184904.2375942,65977.11732921652,NaN,NaN,NaN,NaN,NaN,NaN
1517616000,918.38,995,838.67,969.93,27592.48525909,65590.32939860852,NaN,NaN,NaN,NaN,NaN,NaN
1517702400,969.96,969.96,782,826.51,37123.35926116,65746.61465821453,NaN,NaN,NaN,NaN,NaN,NaN
1517788800,825.13,855,632,692.36,128779.91437638,65789.45811568052,NaN,NaN,NaN,NaN,NaN,NaN
1517875200,692.38,808,565,784.01,157935.74997721,64726.245463693514,NaN,NaN,NaN,NaN,NaN,NaN
1517961600,788.13,866.05,720.01,752.89,75081.12515266,63677.48485603252,NaN,NaN,NaN,NaN,NaN,NaN
1518048000,753.95,846.28,748.42,812.01,40467.31905615,63208.92235546253,NaN,NaN,NaN,NaN,NaN,NaN
1518134400,814.32,883.07,780.88,875.1,40273.37266013,63626.470675458026,NaN,NaN,NaN,NaN,NaN,NaN
1518220800,879.86,913.3,815,851.83,32319.24474698,63391.19934521903,NaN,NaN,NaN,NaN,NaN,NaN
1518307200,851.84,855.19,775.99,809.69,25362.85834689,62239.867042976526,NaN,NaN,NaN,NaN,NaN,NaN
1518393600,811,877.95,808.52,865.57,23687.08996852,60327.32005897003,NaN,NaN,NaN,NaN,NaN,NaN
1518480000,866.86,869.14,819.31,841.82,24822.4637952,59344.04504210153,NaN,NaN,NaN,NaN,NaN,NaN
1518566400,841.82,924.52,839.75,922.98,43648.22139283,58416.643877982024,NaN,NaN,NaN,NaN,NaN,NaN
1518652800,922.98,951.25,905,927.91,41287.71998601,58513.31836345103,NaN,NaN,NaN,NaN,NaN,NaN
1518739200,927.5,947.87,908,940,23773.48259549,58236.92461539153,NaN,NaN,NaN,NaN,NaN,NaN
1518825600,940.87,980,935.25,977.74,20558.71352157,57806.17186034353,NaN,NaN,NaN,NaN,NaN,NaN
1518912000,977.55,983.31,905.52,912.85,28492.25011204,57206.988707788536,NaN,NaN,NaN,NaN,NaN,NaN
1518998400,913.42,955.58,906,938.05,14832.72496155,54856.26736713752,NaN,NaN,NaN,NaN,NaN,NaN
1519084800,939.28,958.74,874,884.24,25435.7651672,54420.58236213702,NaN,NaN,NaN,NaN,NaN,NaN
1519171200,884.25,906.09,816,837.98,34498.7100109,51543.840397108026,NaN,NaN,NaN,NaN,NaN,NaN
1519257600,840.07,871.81,789.99,803.57,26905.04775256,43643.88090502603,NaN,NaN,NaN,NaN,NaN,NaN
1519344000,804.79,883.44,787,851.98,20668.79061454,43297.69617279853,NaN,NaN,NaN,NaN,NaN,NaN
1519430400,852.5,878,809.01,835.74,11028.28615971,41992.94251772603,NaN,NaN,NaN,NaN,NaN,NaN
1519516800,835.74,851.38,818.38,842.65,8988.89175788,36003.39138680103,NaN,NaN,NaN,NaN,NaN,NaN
1519603200,842.82,880,834.77,868.4,15603.01471496,28886.754623688525,NaN,NaN,NaN,NaN,NaN,NaN
1519689600,868.46,896,861,870.32,14062.01044208,25835.798888159523,NaN,NaN,NaN,NaN,NaN,NaN
1519776000,870.32,889.85,848.46,850.16,15701.07118509,24597.486494606525,NaN,NaN,NaN,NaN,NaN,NaN
1519862400,851.92,881.47,845.81,869.01,16063.60146239,23386.997934719522,NaN,NaN,NaN,NaN,NaN,NaN
1519948800,869.02,875.17,847.93,856.08,7584.52267756,22150.26183124852,NaN,NaN,NaN,NaN,NaN,NaN
1520035200,856.33,868.7,849,853.76,5600.73438238,21162.155633023016,NaN,NaN,NaN,NaN,NaN,NaN
1520121600,853.74,866.43,837.17,862.28,5387.93325666,20247.197797430017,NaN,NaN,NaN,NaN,NaN,NaN
1520208000,864.06,869.21,848,848,8662.0750727,19439.178361305017,NaN,NaN,NaN,NaN,NaN,NaN
1520294400,848,850.99,802.55,813.09,18233.70688199,18168.452635763017,NaN,NaN,NaN,NaN,NaN,NaN
1520380800,813.08,825.61,723.13,750.42,41014.66545032,18154.79990897852,NaN,NaN,NaN,NaN,NaN,NaN
1520467200,750.11,773.12,686.5,698.06,32177.19834154,18574.98569628102,NaN,NaN,NaN,NaN,NaN,NaN
1520553600,698.06,732.31,640.55,726.13,53099.97795875,20202.048918140015,NaN,NaN,NaN,NaN,NaN,NaN
1520640000,726.22,750,676.21,682.87,14417.56859471,19498.314842273518,NaN,NaN,NaN,NaN,NaN,NaN
1520726400,681.07,737.14,662.48,720.38,17188.71184635,19616.114186513518,NaN,NaN,NaN,NaN,NaN,NaN
1520812800,720.45,740.7,676,695.5,25021.99173026,19595.425514666516,NaN,NaN,NaN,NaN,NaN,NaN
1520899200,696.16,715,680,690.01,27159.25072985,19228.45255061402,NaN,NaN,NaN,NaN,NaN,NaN
1520985600,690.99,703.51,584,613.07,38834.71600113,19824.93596304252,NaN,NaN,NaN,NaN,NaN,NaN
1521072000,612,620,571.56,611.02,44548.02980151,21018.89792239102,NaN,NaN,NaN,NaN,NaN,NaN
1521158400,611.97,625.51,583.4,599.87,30596.64676458,21997.31595263452,NaN,NaN,NaN,NaN,NaN,NaN
1521244800,598.56,610,542.75,550.1,21796.89056428,22637.71589295452,NaN,NaN,NaN,NaN,NaN,NaN
1521331200,550.1,561.52,453.01,538,79232.21946554,25819.176130483516,NaN,NaN,NaN,NaN,NaN,NaN
1521417600,538,559,515.47,555.68,50383.27337299,27635.239277029013,NaN,NaN,NaN,NaN,NaN,NaN
1521504000,555.52,567.49,515.38,557.41,41228.06969702,28911.589202625513,NaN,NaN,NaN,NaN,NaN,NaN
1521590400,557.49,590.69,545,560.52,42065.0195497,30211.66010699101,NaN,NaN,NaN,NaN,NaN,NaN
1521676800,559.8,578.58,517.45,540.12,29000.27740787,31282.447843506514,NaN,NaN,NaN,NaN,NaN,NaN
1521763200,538.56,543.2,506,543.03,26831.19056619,32343.970652697015,NaN,NaN,NaN,NaN,NaN,NaN
1521849600,543.1,545.55,518.66,519.99,16223.12245645,32885.73011268651,NaN,NaN,NaN,NaN,NaN,NaN
1521936000,519.99,535.68,512.59,521.99,13946.26421917,33149.939570010014,NaN,NaN,NaN,NaN,NaN,NaN
1522022400,522.98,525.55,466.72,485.79,46310.08502564,34553.75847719251,NaN,NaN,NaN,NaN,NaN,NaN
1522108800,485.4,492.09,445.08,449.41,51374.77451027,35071.76393019001,NaN,NaN,NaN,NaN,NaN,NaN
1522195200,449.89,465.85,440,446.49,22678.77835928,34596.842931077015,NaN,NaN,NaN,NaN,NaN,NaN
1522281600,446.6,448.5,378.86,383.07,78007.79044041,35842.23355516001,NaN,NaN,NaN,NaN,NaN,NaN
1522368000,383.14,411.41,362,393.46,92799.41264709,39761.32575777902,NaN,NaN,NaN,NaN,NaN,NaN
1522454400,393.85,419.7,387.85,393.79,37126.86831339,40758.23358113102,NaN,NaN,NaN,NaN,NaN,NaN
1522540800,393.58,399.78,358.4,378,40341.4561116,41524.20680019802,NaN,NaN,NaN,NaN,NaN,NaN
1522627200,378.06,395,375.02,384.47,20485.05431078,41190.49697924452,NaN,NaN,NaN,NaN,NaN,NaN
1522713600,384.86,419.08,380,415.32,31371.19291848,40817.32082511202,NaN,NaN,NaN,NaN,NaN,NaN
1522800000,415.34,417.5,370.49,378.99,31337.17766325,40156.77821819902,NaN,NaN,NaN,NaN,NaN,NaN
1522886400,377.26,387.49,366.95,381.05,20729.04746148,39663.39825304402,NaN,NaN,NaN,NaN,NaN,NaN
1522972800,381.04,385.62,360,370.08,18493.15152416,39498.21130103802,NaN,NaN,NaN,NaN,NaN,NaN
1523059200,369.44,397.4,368.99,384.66,16411.9803586,36357.19934569102,NaN,NaN,NaN,NaN,NaN,NaN
1523145600,384.94,410,384.14,400.23,11317.65828092,34403.918591087524,NaN,NaN,NaN,NaN,NaN,NaN
1523232000,400.07,431.36,386.19,399,26518.22407379,33668.42630992602,NaN,NaN,NaN,NaN,NaN,NaN
